restaurant_id,restaurant_name,category,location,price_range,overall_rating,food_rating,service_rating,ambiance_rating,review_text,review_date,reviewer_name,source,aspect_sentiments
109911,Pieros Pizza,General,Panamá,,4.54,,,,"el concepto está ok, pero el lugar está escondido. un sábado de quincena sin variedad. para se concepto ny le falta",2026-05-30,Dora Mich T.,degusta,"{'comida': 'negative', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}"
109911,Pieros Pizza,General,Panamá,,4.54,,,,"Muy buena pizza, venden por slice. Probe todos los slices, quedé encantado. Pasamos caminando y nos llevamos el slice caminando, super comodo",2026-05-05,Ariel S.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}"
109911,Pieros Pizza,General,Panamá,,4.54,,,,"Me senti en una de esas pizzerias de Manhattan, buena vibra, la pizza excelente NY stule, slices grandes, masa delgada y el borde crujiente. Buena salsa, muy buena mezcla de quesos, y el crust para el que le gusta la masa delgada esta fuera de serie. Los helados super cremosos... full recomendado para pasar por 1 o 2 slices y matar el hambre cuando estas en casco, o para deliveries de pizzas completas.",2026-05-05,Toby S.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}"
109911,Pieros Pizza,General,Panamá,,4.54,,,,"Siemplemente deliciosa y muy buen sabor. El lugar tiene buen ambiente y es rápido. Excelente atención al cliente, súper recomendada!",2026-05-05,Maria Gabriela G.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'positive'}"
108620,Al Alma,General,Panamá,,4.4176,,,,"Fuimos por una oferta. El ambiente es ameno, la atención fue muy buena. Fuimos un día de semana en la mañana, tuvimos que esperar un poco, pero nos dieron frutas como una entrada.",2026-06-09,Ramiro R.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'positive'}"
108620,Al Alma,General,Panamá,,4.4176,,,,"Buena opción para lunch y brunch durante todo el día. Los platillos que degustamos estuvieron ricos e igual las bebidas. Tienen open mimosas que estaban muy ricas. Lugar acogedor, buen servicio.",2026-06-03,Thaysie Devonne I.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}"
108620,Al Alma,General,Panamá,,4.4176,,,,"comida mediana y ahora poco atractiva, aunque de buen sabor. terrible que a las 930 am ya no hubiera piña. el bistec picado tenía bastantes cachos incomibles gordos, pellejos, nervios y eso bajó la puntuación. la hojaldra, muy buena.",2026-05-23,Luis Eduardo  O.,degusta,"{'comida': 'neutral', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}"
108620,Al Alma,General,Panamá,,4.4176,,,,"el lugar lleno y con espacios, atencion, solo eran 3 personas para las mesas, perooooo super amables y a tiempo.. la comida no mas de 30 minutos y ya estaba en mesa, un tiempo std en espera en restaurantes llenos, y calientita la comida recomendado para algo diferente y luego poder caminar un poco",2026-05-18,Luis M.,degusta,"{'comida': 'neutral', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}"
108620,Al Alma,General,Panamá,,4.4176,,,,"El restaurante es precioso, la decoración es súper bonita, es fresco, la ubicación excelente. Fui a desayunar con mi familia y a todos nos encantó la comida, todo estuvo delicioso y la porción abundante, pero la comida demoró aproximadamente 1 hora en llegar. Súper demorada la atención. No vayan con hambre!",2026-05-11,Melissa V.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'positive', 'ambiente': 'neutral'}"
107203,Sugoi Costa Verde,General,Panamá,,,,,,"Excelente todo, comida y servicio. En especial las Gamba Pop y los Rolls, muy bueno. Super super super espectacular y delicioso.",2026-06-10,Ramón E.,degusta,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}"
