restaurant_id,restaurant_name,category,location,price_range,overall_rating,food_rating,service_rating,ambiance_rating,review_text,review_date,reviewer_name,source,aspect_sentiments,review_text_normalized,restaurant_name_normalized,category_normalized,review_language,word_count,char_count,avg_word_length
109911,Pieros Pizza,General,Panamá,,4.54,,,,"el concepto está ok, pero el lugar está escondido. un sábado de quincena sin variedad. para se concepto ny le falta",2026-05-30,Dora Mich T.,degusta,"{'comida': 'negative', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","concepto ok, lugar escondido. sabado quincena variedad. concepto ny falta",pieros pizza,general,spanish,21,115,4.523809523809524
109911,Pieros Pizza,General,Panamá,,4.54,,,,"Muy buena pizza, venden por slice. Probe todos los slices, quedé encantado. Pasamos caminando y nos llevamos el slice caminando, super comodo",2026-05-05,Ariel S.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","buena pizza, venden slice. probe slices, quede encantado. pasamos caminando llevamos slice caminando, super comodo",pieros pizza,general,spanish,22,141,5.454545454545454
109911,Pieros Pizza,General,Panamá,,4.54,,,,"Me senti en una de esas pizzerias de Manhattan, buena vibra, la pizza excelente NY stule, slices grandes, masa delgada y el borde crujiente. Buena salsa, muy buena mezcla de quesos, y el crust para el que le gusta la masa delgada esta fuera de serie. Los helados super cremosos... full recomendado para pasar por 1 o 2 slices y matar el hambre cuando estas en casco, o para deliveries de pizzas completas.",2026-05-05,Toby S.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","senti pizzerias manhattan, buena vibra, pizza excelente ny stule, slices grandes, masa delgada borde crujiente. buena salsa, buena mezcla quesos, crust gusta masa delgada serie. helados super cremosos... full recomendado pasar 1 2 slices matar hambre casco, deliveries pizzas completas.",pieros pizza,general,spanish,73,405,4.561643835616438
109911,Pieros Pizza,General,Panamá,,4.54,,,,"Siemplemente deliciosa y muy buen sabor. El lugar tiene buen ambiente y es rápido. Excelente atención al cliente, súper recomendada!",2026-05-05,Maria Gabriela G.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'positive'}","siemplemente deliciosa buen sabor. lugar buen ambiente rapido. excelente atencion cliente, super recomendada!",pieros pizza,general,spanish,20,132,5.65
108620,Al Alma,General,Panamá,,4.4176,,,,"Fuimos por una oferta. El ambiente es ameno, la atención fue muy buena. Fuimos un día de semana en la mañana, tuvimos que esperar un poco, pero nos dieron frutas como una entrada.",2026-06-09,Ramiro R.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'positive'}","oferta. ambiente ameno, atencion buena. dia semana manana, esperar poco, dieron frutas entrada.",al alma,general,spanish,33,179,4.454545454545454
108620,Al Alma,General,Panamá,,4.4176,,,,"Buena opción para lunch y brunch durante todo el día. Los platillos que degustamos estuvieron ricos e igual las bebidas. Tienen open mimosas que estaban muy ricas. Lugar acogedor, buen servicio.",2026-06-03,Thaysie Devonne I.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","buena opcion lunch brunch dia. platillos degustamos ricos igual bebidas. open mimosas ricas. lugar acogedor, buen servicio.",al alma,general,spanish,31,194,5.290322580645161
108620,Al Alma,General,Panamá,,4.4176,,,,"comida mediana y ahora poco atractiva, aunque de buen sabor. terrible que a las 930 am ya no hubiera piña. el bistec picado tenía bastantes cachos incomibles gordos, pellejos, nervios y eso bajó la puntuación. la hojaldra, muy buena.",2026-05-23,Luis Eduardo  O.,degusta,"{'comida': 'neutral', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","comida mediana ahora atractiva, aunque buen sabor. terrible 930 am pina. bistec picado tenia bastantes cachos incomibles gordos, pellejos, nervios bajo puntuacion. hojaldra, buena.",al alma,general,spanish,39,233,5.0
108620,Al Alma,General,Panamá,,4.4176,,,,"el lugar lleno y con espacios, atencion, solo eran 3 personas para las mesas, perooooo super amables y a tiempo.. la comida no mas de 30 minutos y ya estaba en mesa, un tiempo std en espera en restaurantes llenos, y calientita la comida recomendado para algo diferente y luego poder caminar un poco",2026-05-18,Luis M.,degusta,"{'comida': 'neutral', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","lugar lleno espacios, atencion, solo 3 personas mesas, perooooo super amables tiempo.. comida mas 30 minutos mesa, tiempo std espera restaurantes llenos, calientita comida recomendado diferente luego poder caminar",al alma,general,spanish,54,298,4.537037037037037
108620,Al Alma,General,Panamá,,4.4176,,,,"El restaurante es precioso, la decoración es súper bonita, es fresco, la ubicación excelente. Fui a desayunar con mi familia y a todos nos encantó la comida, todo estuvo delicioso y la porción abundante, pero la comida demoró aproximadamente 1 hora en llegar. Súper demorada la atención. No vayan con hambre!",2026-05-11,Melissa V.,degusta,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'positive', 'ambiente': 'neutral'}","restaurante precioso, decoracion super bonita, fresco, ubicacion excelente. desayunar familia encanto comida, delicioso porcion abundante, comida demoro aproximadamente 1 hora llegar. super demorada atencion. vayan hambre!",al alma,general,spanish,51,308,5.0588235294117645
107203,Sugoi Costa Verde,General,Panamá,,,,,,"Excelente todo, comida y servicio. En especial las Gamba Pop y los Rolls, muy bueno. Super super super espectacular y delicioso.",2026-06-10,Ramón E.,degusta,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}","excelente todo, comida servicio. especial gamba pop rolls, bueno. super super super espectacular delicioso.",sugoi costa verde,general,spanish,21,128,5.142857142857143
