restaurant_id,restaurant_name,category,location,price_range,overall_rating,review_rating,review_text,review_date,reviewer_name,source
rg_8fb2ce3d69,Salsipuedes Restaurant,"Latinoamericana, Contemporanea, Panameña",Panamá,$$,4.9,,"Comida deliciosa. Probamos el pollo envuelto en hoja de plátano y las gyozas, ambos excelentes. Servicio muy amable. Muy recomendable. Food: 5 Service: 5 Atmosphere: 4",,,restaurantguru
rg_8fb2ce3d69,Salsipuedes Restaurant,"Latinoamericana, Contemporanea, Panameña",Panamá,$$,4.9,,"Me quedé en el Bristol unos días y me sorprendió el nivel de la comida de su restaurante. Se nota que el chef es de primera. De cortesía traen unos chips de plátanos caseros, dorados pero ligeros, acompañados de unas salsas muy ricas. También un pequeño pan de maiz muy rico. Probé el puplo con bok choy, excelentemente bien preparado, suave su carne y con acentos tostados o doraditos afuera. El bok choy al dente respetando la integridad del ingrediente. La salsa rica y refrescante. Aparte, yo tenía años de no comer cocodrilo y vi que tienen una entrada con eso en el menú. Lo tuve que pedir, muy rico. Y sobre el bufet de desayuno, qué nivel! Gran variedad de opciones y todas con ingredientes de la mejor calidad.",,,restaurantguru
rg_8fb2ce3d69,Salsipuedes Restaurant,"Latinoamericana, Contemporanea, Panameña",Panamá,$$,4.9,,"Salsipuedes Restaurant After a long humid day in the forest we just walked by this hotel and said screw it. The location and set up is gorgeous, their servers are well trained and polite! Just a side note they charge you for the water they put on your table. Found that quite odd… The bartender knows exactly what he’s doing, every cocktail we tried was delicious and perfectly balanced. The chefs menu looks fantastic with lots of variety and colours. Excited to dive in. We got complimentary plantain chips and warm Panamanian bread to start! Delicious appetizer 8.8/10 Ordered the Salmon Ceviche 9.2/10 colourful, acidic, fatty, crunch, soft. It was hitting every note and overall fantastic dish. I got the curry Afrocaribeño 6.2/10. The coconut rice was seasoned to perfection, not too sweet and perfectly cooked. Presented in a big banana leaf to show tradition great touch. Overall flavour was pretty good but there was some technical flaws. The eggplant definitely wasn’t soaked in salt water for preparation as it was quite bitter. Also there was just half a piece of Brussels sprout and half a piece of asparagus? I don’t know if I just got a bad portion but that shouldn’t happen. It was mainly zucchini and egg plant. The chicken was also quite dry which was disappointing. Causa y Camarones 7.5/10. Gorgeous plating and a cold dish. Shrimps were cooked beautifully and all the flavours were delicate. The flavours overall weren’t wowing and personally I think it could have used some spice. Also sauce to dish ratio was too much. Food: 4 Service: 4 Atmosphere: 4 Meal type: Lunch Price per person: PAB 45–50",,,restaurantguru
rg_6bb7ddc04c,Sugoi Caribbean Sushi - Condado del Rey,Sushi,Panamá,$$,4.9,,Fuimos a la sucursal del Condado de Rey y todo excelente. Fui con mi esposo nos pedimos un padthai y rolles Tokio y PTY. Muy rico todo. La atención de los chicos super. Nos atendió Luisana muy amable y coordial. Meal type: Dinner Price per person: PAB 45–50 Food: 5 Service: 5 Atmosphere: 5,hace 2 años,,restaurantguru
rg_6bb7ddc04c,Sugoi Caribbean Sushi - Condado del Rey,Sushi,Panamá,$$,4.9,,"A little gem of a place with some unique Panamanian take on sushi in plantain . Yomar our server was attentive, knowledge and so, so welcoming. We will be back! Food: 5 Service: 5 Atmosphere: 4",hace un mes,,restaurantguru
rg_6bb7ddc04c,Sugoi Caribbean Sushi - Condado del Rey,Sushi,Panamá,$$,4.9,,The food and service were really good. Staff were very friendly and welcoming. Will definitely come again. Thank you. Price per person: PAB 15–20 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Gyosas Vegetarian options: Good choice Dietary restrictions: Good,hace 4 meses,,restaurantguru
rg_68fa1d4b19,Azahar Restaurant,"Fusión, Mediterránea, Pescado y marisco",Panamá,$$$,5.0,,"Se come bien, pero el servicio aquí y en Panamá en generla es MUUUY LENTO. No recogen los platos sucios y las bebidas tardan mucho em dártelas. Food: 4 Service: 2 Atmosphere: 3",hace un mes,,restaurantguru
rg_68fa1d4b19,Azahar Restaurant,"Fusión, Mediterránea, Pescado y marisco",Panamá,$$$,5.0,,"Excelente lugar para compartir en pareja o con amigos, no es una salida a comer, es una experiencia desde la llegada al lugar. Me preguntaron si tenia algún tipo de alergias antes de pedir. Mi parte favorita el postre 100/100. Food: 5 Service: 5 Atmosphere: 5 Order type: Dine in Meal type: Dinner Price per person: PAB 30–35",hace 2 meses,,restaurantguru
rg_68fa1d4b19,Azahar Restaurant,"Fusión, Mediterránea, Pescado y marisco",Panamá,$$$,5.0,,"Azahar Restaurant es un lugar encantador, con un ambiente elegante y una vista espectacular. La comida es deliciosa, con presentaciones cuidadas y sabores únicos. El servicio es atento y profesional, lo que hace que la experiencia sea aún mejor. Ideal para una cena especial o simplemente disfrutar de buena gastronomía en un lugar acogedor. ¡Totalmente recomendado! Food: 5 Service: 5 Atmosphere: 5 Meal type: Brunch Price per person: PAB 15–20",hace 8 meses,,restaurantguru
rg_444ee6f10b,Restaurante Santa Rita | Comida Española Panamá,"Española, Argentina, Churrasquería",Panamá,$$,4.9,,"El lugar es muy bonito y la comida muy buena! Es un lugar pequeño y se hace un poco de ruido, pero fuera de eso la experiencia fue muy buena! Las patatas bravas estaban buenísimas. Food: 5 Service: 4 Atmosphere: 4",,,restaurantguru
